1802 3
603984.427333 2330345.774300 1.397631
603816.244226 2330284.185260 12.487019
604048.314312 2330151.923840 -4.250713
603706.172064 2330154.992330 12.259098
603579.002616 2330044.309320 9.469649
603857.816902 2330047.612740 -5.379473
604045.141146 2329914.968640 -0.245739
603414.415184 2329979.814100 11.811777
603714.865794 2329931.626740 -5.004599
603552.737561 2329853.113590 0.435590
603868.648725 2329804.081890 -1.958864
604042.942738 2329659.525510 8.838561
603253.366182 2329904.873420 11.802713
603413.510627 2329794.555850 6.831056
603703.104271 2329715.380770 -4.590876
603500.144213 2329633.237890 -4.650540
603779.356088 2329456.036590 3.158896
604042.977191 2329404.064110 8.633760
603125.434921 2329779.960330 12.062710
603274.283718 2329735.998120 8.247804
603297.185929 2329551.095700 -2.079648
603607.301315 2329403.344730 -2.326727
603404.054789 2329403.009130 -4.459051
603819.996681 2329204.265040 8.667489
604042.975911 2329148.597020 7.692801
603076.822394 2329594.540050 9.115395
603211.183675 2329356.258640 -3.742336
603368.718352 2329190.083870 -1.958984
603581.174092 2329177.011530 0.409676
603805.553413 2328964.772700 8.361133
604043.014504 2328893.134820 7.632395
604043.205075 2328383.987560 7.655026
604043.917580 2328637.683060 7.338359
604043.037754 2328150.238740 12.346167
603955.484725 2327985.803650 12.348417
603026.421349 2329402.385610 12.283236
603168.968128 2329202.374440 -1.070610
603448.545788 2329036.278220 -2.414814
603271.618950 2329025.750680 -5.777517
603531.385763 2328876.668680 -2.805865
603809.571669 2328643.702780 7.777623
603883.261098 2328285.520390 8.888310
603810.056687 2328437.714240 7.777623
603851.367075 2328067.752680 7.899360
603740.000016 2328197.323800 8.478850
603820.606841 2327886.755160 12.395905
603586.130992 2328649.442410 6.936629
602979.276795 2329214.046090 12.662468
603102.952111 2329015.714640 -2.817217
603292.797577 2328868.990000 -6.327508
603375.350937 2328654.856800 -2.275471
603587.379094 2328489.028070 5.278002
603665.953401 2328338.849020 8.403027
603680.854016 2327994.371870 8.683950
603540.425230 2328102.509140 6.565514
603689.542773 2327785.333230 12.375995
602899.146885 2329042.289920 12.797926
603066.447727 2328861.705210 3.135595
603175.068557 2328660.001540 -3.790578
603310.543203 2328481.445630 -2.895281
603485.982140 2328342.049150 -1.236659
603396.949433 2328212.992720 -3.660038
603548.527309 2327891.378940 10.956913
603407.511839 2327997.424670 -4.080190
603582.681328 2327646.070140 12.511911
603538.945999 2327457.575560 12.039105
602849.665662 2328854.728380 11.757832
