6718 3
603760.140899 2330255.167390 12.581664
604018.413608 2330356.168470 1.397631
603719.369890 2330178.607580 12.259098
603850.444933 2330278.263860 12.487019
603813.941654 2330164.631880 6.477775
603932.003792 2330319.632210 12.158753
604044.342705 2330251.985780 -2.303711
603655.594308 2330127.621270 8.119826
603738.025664 2330101.307570 -2.276032
603865.995221 2330099.693050 -3.667845
603940.599987 2330209.880180 -3.506412
604045.335903 2330130.436770 -4.250713
603607.487024 2330063.289710 9.469649
603551.558083 2330000.874550 12.157656
603680.436464 2330032.006860 0.531680
603802.674997 2330036.519810 -5.379473
603459.790711 2329978.500000 12.157656
603931.679309 2330039.489550 -4.148862
604045.166218 2330003.262330 -0.245739
603846.577282 2329960.760850 -4.333509
603622.365056 2329946.148320 -2.550878
603547.407349 2329924.812240 -2.550878
603728.665743 2329910.080640 -5.004599
603270.882364 2329930.287600 12.323159
603363.923847 2329953.272920 11.811777
603465.986349 2329896.971450 9.218073
603932.099286 2329904.422120 -1.020351
604044.231589 2329876.000940 7.894233
603852.393992 2329864.717310 -1.958864
603776.584554 2329826.953220 -1.958864
603611.983340 2329852.000430 -5.048462
603515.416136 2329829.843740 0.435590
603692.221422 2329785.308100 -4.613718
603200.002383 2329876.885920 11.802713
603305.996163 2329842.264980 8.247804
603385.537354 2329869.463030 6.831056
603268.623566 2329774.633650 8.247804
603931.448047 2329806.124700 2.465567
604043.382042 2329748.741970 8.838561
603860.080803 2329762.419580 0.441164
603775.319276 2329716.238770 -0.989602
603566.214280 2329760.857800 -4.787749
603461.988251 2329759.063240 -6.173918
603652.201765 2329695.928430 -4.590876
603126.337552 2329825.912770 11.802713
603192.984021 2329804.949320 11.802713
603360.337764 2329757.313040 6.472505
603231.252521 2329707.002800 8.745498
603416.555404 2329669.430420 -4.595146
603935.351738 2329687.096460 8.327177
604042.428704 2329621.484270 8.633760
603861.345243 2329644.735660 -0.175887
603733.604287 2329631.269850 -2.249088
603618.530815 2329597.597230 -3.870810
603547.189464 2329647.483680 -5.033767
603107.514110 2329730.787540 12.062710
603171.122444 2329623.675950 7.138429
603269.522106 2329609.055830 1.348001
603343.038730 2329639.243110 1.348001
603474.676602 2329578.574190 -4.650540
604042.435217 2329494.217230 8.633760
603922.142869 2329512.090130 5.219189
603800.949856 2329506.003040 6.504614
603691.889323 2329546.300960 0.038582
603572.162449 2329517.169130 -3.058167
604042.435217 2329366.946030 7.692801
603250.979844 2329532.844640 -2.079648
603075.304372 2329637.912500 12.062710
603149.319355 2329537.806220 6.284173
604042.435217 2329239.674840 7.692801
603355.258053 2329527.755280 -4.812544
603462.279601 2329469.671450 -3.617720
603560.284193 2329404.572750 -1.904809
603920.057888 2329388.614800 8.639336
603800.949856 2329409.704690 3.158896
603676.006613 2329395.541850 0.069312
603916.984124 2329265.155510 8.106291
603525.219093 2329321.408890 -1.904809
