503 8
0.9037	12.36	9.065	9.21	9992	12.36	9.065	9.21
0.9109	12.4	9.1	9.24	10100	12.4	9.1	9.24
0.9171	12.43	9.13	9.27	10190	12.43	9.13	9.27
0.9253	12.47	9.16	9.3	10310	12.47	9.16	9.3
0.9356	12.52	9.2	9.34	10460	12.52	9.2	9.34
0.9457	12.57	9.24	9.38	10610	12.57	9.24	9.38
0.9600	12.57	9.28	9.435	10770	12.57	9.28	9.435
0.9754	12.62	9.32	9.49	10980	12.62	9.32	9.49
0.9869	12.68	9.36	9.55	11155	12.68	9.36	9.55
0.9989	12.73	9.4	9.61	11330	12.73	9.4	9.61
1.0070	12.78	9.45	9.665	11460	12.78	9.45	9.665
1.0148	12.82	9.5	9.72	11580	12.82	9.5	9.72
1.0330	12.86	9.55	9.765	11820	12.86	9.55	9.765
1.0553	12.94	9.59	9.81	12140	12.94	9.59	9.81
1.0574	13.04	9.63	9.855	12245	13.04	9.63	9.855
1.0643	13.07	9.67	9.9	12350	13.07	9.67	9.9
1.0712	13.1	9.71	9.94	12455	13.1	9.71	9.94
1.0811	13.13	9.75	9.98	12595	13.13	9.75	9.98
1.0872	13.17	9.78	10.02	12700	13.17	9.78	10.02
1.0941	13.2	9.82	10.06	12805	13.2	9.82	10.06
1.0979	13.23	9.85	10.095	12875	13.23	9.85	10.095
1.1024	13.25	9.89	10.13	12945	13.25	9.89	10.13
1.1099	13.27	9.92	10.16	13050	13.27	9.92	10.16
1.1196	13.3	9.95	10.19	13190	13.3	9.95	10.19
1.1226	13.34	9.98	10.22	13260	13.34	9.98	10.22
1.1300	13.36	10	10.25	13365	13.36	10	10.25
1.1308	13.39	10.03	10.275	13400	13.39	10.03	10.275
1.1368	13.4	10.05	10.3	13480	13.4	10.05	10.3
1.1420	13.42	10.07	10.32	13560	13.42	10.07	10.32
1.1439	13.44	10.09	10.34	13600	13.44	10.09	10.34
1.1499	13.45	10.1	10.36	13680	13.45	10.1	10.36
1.1551	13.47	10.11	10.38	13760	13.47	10.11	10.38
1.1604	13.49	10.12	10.405	13840	13.49	10.12	10.405
1.1622	13.51	10.13	10.43	13880	13.51	10.13	10.43
1.1648	13.52	10.14	10.45	13920	13.52	10.14	10.45
1.1641	13.53	10.15	10.48	13920	13.53	10.15	10.48
1.1641	13.53	10.16	10.5	13920	13.53	10.16	10.5
1.1641	13.53	10.18	10.51	13920	13.53	10.18	10.51
