503 4
5888	10.44	7.59	7.59
5888	10.44	7.585	7.585
5888	10.44	7.58	7.58
5888	10.44	7.57	7.57
5939	10.47	7.56	7.56
5990	10.5	7.555	7.555
6041	10.53	7.55	7.55
6041	10.53	7.545	7.55
6041	10.53	7.54	7.55
6041	10.53	7.54	7.55
6041	10.53	7.54	7.55
6041	10.53	7.54	7.54
6041	10.53	7.54	7.53
6041	10.53	7.535	7.525
6041	10.53	7.53	7.52
6041	10.53	7.525	7.52
6041	10.53	7.52	7.52
6041	10.53	7.515	7.515
6041	10.53	7.51	7.51
6041	10.53	7.505	7.51
6041	10.53	7.5	7.51
6041	10.53	7.5	7.51
6041	10.53	7.5	7.51
6075	10.53	7.515	7.52
6143	10.59	7.53	7.53
6228	10.64	7.54	7.54
6313	10.69	7.55	7.55
6398	10.74	7.56	7.57
6483	10.79	7.57	7.59
6519	10.81	7.59	7.605
6574	10.84	7.61	7.62
6629	10.87	7.64	7.66
6685	10.9	7.67	7.7
6741	10.93	7.695	7.725
6778	10.95	7.72	7.75
6815	10.97	7.745	7.78
6870	11	7.77	7.81
6927	11.03	7.8	7.84
7003	11.07	7.83	7.87
7079	11.11	7.865	7.895
7155	11.15	7.9	7.92
7231	11.19	7.92	7.95
7290	11.22	7.94	7.98
7370	11.26	7.97	8.015
7450	11.3	8	8.05
7510	11.33	8.045	8.09
7590	11.37	8.09	8.13
7650	11.4	8.12	8.175
7738	11.44	8.15	8.22
7804	11.47	8.185	8.255
7870	11.5	8.22	8.29
7914	11.52	8.26	8.32
7958	11.54	8.3	8.35
8002	11.56	8.315	8.385
8046	11.58	8.33	8.42
8046	11.58	8.35	8.445
8090	11.6	8.37	8.47
8090	11.6	8.39	8.495
8090	11.6	8.41	8.52
8090	11.6	8.425	8.54
8113	11.61	8.44	8.56
8113	11.61	8.45	8.565
8135	11.62	8.46	8.57
8157	11.63	8.47	8.58
8180	11.64	8.48	8.59
8225	11.66	8.495	8.6
8293	11.69	8.51	8.61
8360	11.72	8.53	8.63
8450	11.76	8.55	8.65
8518	11.79	8.575	8.685
8612	11.83	8.6	8.72
8684	11.86	8.625	8.75
8756	11.89	8.65	8.78
8876	11.94	8.68	8.815
8972	11.98	8.71	8.85
9047	12.01	8.745	8.885
9128	12.04	8.78	8.92
9209	12.07	8.815	8.95
9317	12.11	8.85	8.98
9398	12.14	8.875	9.01
9452	12.16	8.9	9.04
9533	12.19	8.93	9.065
9614	12.22	8.96	9.09
9668	12.24	8.975	9.11
9722	12.26	8.99	9.13
9803	12.29	9.01	9.155
9884	12.32	9.03	9.18
9992	12.36	9.065	9.21
10100	12.4	9.1	9.24
10190	12.43	9.13	9.27
10310	12.47	9.16	9.3
10460	12.52	9.2	9.34
10610	12.57	9.24	9.38
10770	12.57	9.28	9.435
10980	12.62	9.32	9.49
11155	12.68	9.36	9.55
11330	12.73	9.4	9.61
11460	12.78	9.45	9.665
11580	12.82	9.5	9.72
11820	12.86	9.55	9.765
12140	12.94	9.59	9.81
12245	13.04	9.63	9.855
12350	13.07	9.67	9.9
12455	13.1	9.71	9.94
12595	13.13	9.75	9.98
12700	13.17	9.78	10.02
12805	13.2	9.82	10.06
12875	13.23	9.85	10.095
12945	13.25	9.89	10.13
13050	13.27	9.92	10.16
13190	13.3	9.95	10.19
13260	13.34	9.98	10.22
13365	13.36	10	10.25
13400	13.39	10.03	10.275
13480	13.4	10.05	10.3
13560	13.42	10.07	10.32
13600	13.44	10.09	10.34
13680	13.45	10.1	10.36
13760	13.47	10.11	10.38
13840	13.49	10.12	10.405
13880	13.51	10.13	10.43
13920	13.52	10.14	10.45
13920	13.53	10.15	10.48
13920	13.53	10.16	10.5
13920	13.53	10.18	10.51
13920	13.53	10.21	10.52
13920	13.53	10.24	10.53
13920	13.53	10.26	10.54
13920	13.53	10.27	10.55
14000	13.55	10.28	10.55
