515 3
598725.944798 2326588.049660 -6.582203
599570.849034 2327061.822210 -6.650625
599162.733773 2326979.595550 0.126015
599447.860583 2327650.844650 8.422725
599719.062208 2327879.781960 8.537243
598078.094381 2326205.708800 11.674128
599636.968295 2328286.308760 12.721357
598276.838949 2326619.295580 -1.401878
598635.893745 2326940.720500 8.993196
598816.994678 2327325.244730 9.408614
599176.658984 2327421.907380 9.378121
599191.293226 2327886.740990 8.779407
597639.185346 2326364.501320 12.431785
597800.366196 2326652.445530 -4.303141
599206.671317 2328375.201300 12.207861
598171.024643 2326981.422380 -3.415477
598446.736491 2327343.529650 9.713765
598824.324221 2328037.683050 8.596988
598820.591943 2327674.903200 9.227329
597500.480111 2327067.666450 -1.001017
597294.935855 2326687.610170 13.167559
596884.186427 2326909.953240 12.183872
598894.349551 2328738.029710 12.910006
598859.336884 2328387.856360 7.957344
598455.717033 2328103.850450 8.771612
598059.630035 2327362.646610 9.432170
598441.977116 2327700.164840 9.635580
597599.158965 2327589.175990 7.929494
597079.167946 2327195.791790 8.768844
596657.855828 2327323.917160 13.259452
598474.451850 2328868.563670 12.171668
598286.392352 2328520.837140 8.585544
598095.815110 2328168.455210 9.690026
597748.246427 2328030.996960 9.630834
597249.523840 2327677.243560 -5.822828
596899.888739 2327765.311160 7.167809
596348.202569 2327687.275650 13.524974
598041.398948 2328899.754990 10.127373
597496.097089 2328278.663180 5.389731
597768.748006 2328589.209080 9.851856
597141.921672 2328206.705150 -2.937911
596562.716814 2328092.518210 8.971889
596073.578530 2328084.799450 12.446097
597625.987535 2329089.493170 11.197186
596777.231094 2328497.760760 4.013798
597383.954606 2328648.099160 8.861124
596344.876480 2328465.045090 8.820349
595777.200509 2328458.513060 12.741852
597206.259626 2329308.245890 12.622119
596491.730051 2328883.379450 7.990496
596991.745350 2328903.003320 2.522344
596127.036146 2328837.571990 8.389325
595425.467647 2328724.550100 12.718171
595765.230621 2328779.285530 8.944415
596826.707424 2329595.689920 13.157402
596476.871771 2329216.630950 8.853261
596028.478898 2329187.486440 9.028364
595553.428075 2329101.542510 11.627037
596614.504487 2330018.864520 12.355479
596373.651565 2329566.242310 6.580742
595929.921674 2329537.400880 9.190256
594402.757660 2322995.688480 11.833727
595494.471215 2329509.097610 11.752431
596330.593013 2330396.153710 12.517373
596046.561170 2330094.819410 8.431758
595685.888426 2330009.153640 10.357209
594178.086933 2323398.706600 9.544319
593903.679530 2322999.823830 8.590615
595325.215723 2329923.487920 13.764710
596021.896885 2330756.782770 13.079904
595673.556295 2330340.135340 10.530162
594049.211165 2324241.159310 11.572867
593736.441955 2323422.500620 7.728329
594049.995740 2323811.294370 9.195461
593395.584815 2322999.851810 7.834847
592887.350172 2322999.851640 8.709361
595781.261358 2331144.197450 13.365218
595173.956125 2330359.108830 14.186290
595360.991254 2330950.016320 -6.979035
593772.093387 2324617.570360 11.737528
593307.198279 2323662.605160 8.438081
593642.178336 2324288.667300 6.017350
593474.688295 2323975.636210 8.202610
592875.950936 2323455.142870 8.930359
592379.172005 2322999.851620 8.861821
592380.703416 2323491.951530 10.631031
595454.097733 2331367.213930 13.108461
595121.637881 2331237.096470 12.981460
594924.754639 2330748.458040 12.487286
593324.816140 2324777.422200 10.520064
592864.557470 2323910.203650 9.007771
593216.752166 2324338.322140 8.924390
592498.985014 2323946.357230 7.262613
591870.976968 2322998.399520 3.402446
592002.310482 2323490.889140 6.394896
592133.412582 2323982.510830 10.481874
591362.726709 2322998.396830 2.555507
590854.613659 2322997.122630 -5.437536
594737.621192 2331266.290860 12.103122
594454.870910 2330823.463690 11.793531
592842.269076 2324800.414590 9.140810
592726.494787 2324350.273830 10.122015
591895.450472 2324378.220890 9.879570
592259.290275 2324454.541580 10.071080
591486.431545 2323435.528820 4.603680
591720.924429 2323927.143340 7.662865
591081.524971 2323434.449250 2.374347
590355.440477 2322998.003890 12.683430
590531.556582 2323296.737680 -1.259081
594315.933369 2331266.200640 12.228769
593986.143481 2330898.801640 12.574724
591531.610669 2324301.900210 6.888222
592385.168000 2324926.572340 10.281353
591751.586258 2324725.859560 10.136798
591308.436301 2323871.775860 7.092882
590763.194186 2323729.680950 2.100478
589980.998026 2323295.715520 13.420461
590217.952072 2323587.586070 -2.922675
593933.006296 2331527.587350 13.004278
593728.167734 2331222.085800 -6.378091
593529.341819 2330925.551630 13.795156
591149.713733 2324473.054630 9.810367
591971.561868 2325149.818950 11.419409
591492.838863 2325036.342560 11.402014
591175.430944 2324809.601100 7.031082
590841.274428 2324178.753780 4.615804
590475.611371 2324065.832730 2.057508
589750.738614 2323705.296870 13.337958
590109.948313 2323952.911690 -5.246583
593872.437918 2332008.489150 13.594145
593572.410641 2331623.118110 8.986279
593378.553484 2331323.311580 -7.567206
593109.272882 2330870.273960 12.414003
590777.865152 2324639.705730 3.706328
591658.857126 2325518.752720 12.550375
591235.082802 2325326.497810 11.577836
590818.952971 2325137.711020 11.626144
590391.232059 2324474.482280 2.950475
590004.598965 2324309.258860 -2.919849
589617.965880 2324144.035450 13.744997
593495.647266 2332200.573520 13.728358
593230.566861 2331713.681040 8.835731
593007.871647 2331421.685010 6.753013
592812.929400 2331100.945570 -1.334688
592752.407200 2330724.748560 12.929774
590410.197171 2324952.269630 4.484152
590988.246573 2325623.613480 9.931559
591340.296365 2325888.104510 11.838997
590500.250319 2325357.000180 9.234756
590008.532187 2324770.045140 -0.452354
589613.660903 2324590.902770 12.366327
592668.534989 2331511.739940 9.671310
593085.095636 2332097.415220 12.676570
592870.110735 2331795.151100 8.515719
592308.919607 2331215.911020 8.519569
592364.636247 2330895.189520 0.551727
592420.352878 2330574.468000 13.455138
