5888	7.59	7.59
5888	7.585	7.585
5888	7.58	7.58
5888	7.57	7.57
5939	7.56	7.56
5990	7.555	7.555
6041	7.55	7.55
6041	7.545	7.55
6041	7.54	7.55
6041	7.54	7.55
6041	7.54	7.55
6041	7.54	7.54
6041	7.54	7.53
6041	7.535	7.525
6041	7.53	7.52
6041	7.525	7.52
6041	7.52	7.52
6041	7.515	7.515
6041	7.51	7.51
6041	7.505	7.51
6041	7.5	7.51
6041	7.5	7.51
6041	7.5	7.51
6075	7.515	7.52
6143	7.53	7.53
6228	7.54	7.54
6313	7.55	7.55
6398	7.56	7.57
6483	7.57	7.59
6519	7.59	7.605
6574	7.61	7.62
6629	7.64	7.66
6685	7.67	7.7
6741	7.695	7.725
6778	7.72	7.75
6815	7.745	7.78
6870	7.77	7.81
6927	7.8	7.84
7003	7.83	7.87
7079	7.865	7.895
7155	7.9	7.92
7231	7.92	7.95
7290	7.94	7.98
7370	7.97	8.015
7450	8	8.05
7510	8.045	8.09
7590	8.09	8.13
7650	8.12	8.175
7738	8.15	8.22
7804	8.185	8.255
7870	8.22	8.29
7914	8.26	8.32
7958	8.3	8.35
8002	8.315	8.385
8046	8.33	8.42
8046	8.35	8.445
8090	8.37	8.47
8090	8.39	8.495
8090	8.41	8.52
8090	8.425	8.54
8113	8.44	8.56
8113	8.45	8.565
8135	8.46	8.57
8157	8.47	8.58
8180	8.48	8.59
8225	8.495	8.6
8293	8.51	8.61
8360	8.53	8.63
8450	8.55	8.65
8518	8.575	8.685
8612	8.6	8.72
8684	8.625	8.75
8756	8.65	8.78
8876	8.68	8.815
8972	8.71	8.85
9047	8.745	8.885
9128	8.78	8.92
9209	8.815	8.95
9317	8.85	8.98
9398	8.875	9.01
9452	8.9	9.04
9533	8.93	9.065
9614	8.96	9.09
9668	8.975	9.11
9722	8.99	9.13
9803	9.01	9.155
9884	9.03	9.18
9992	9.065	9.21
10100	9.1	9.24
10190	9.13	9.27
10310	9.16	9.3
10460	9.2	9.34
10610	9.24	9.38
10770	9.28	9.435
10980	9.32	9.49
11155	9.36	9.55
11330	9.4	9.61
11460	9.45	9.665
11580	9.5	9.72
11820	9.55	9.765
12140	9.59	9.81
12245	9.63	9.855
12350	9.67	9.9
12455	9.71	9.94
12595	9.75	9.98
12700	9.78	10.02
12805	9.82	10.06
12875	9.85	10.095
12945	9.89	10.13
13050	9.92	10.16
13190	9.95	10.19
13260	9.98	10.22
13365	10	10.25
13400	10.03	10.275
13480	10.05	10.3
13560	10.07	10.32
13600	10.09	10.34
13680	10.1	10.36
13760	10.11	10.38
13840	10.12	10.405
13880	10.13	10.43
13920	10.14	10.45
13920	10.15	10.48
13920	10.16	10.5
13920	10.18	10.51
13920	10.21	10.52
13920	10.24	10.53
13920	10.26	10.54
13920	10.27	10.55
14000	10.28	10.55
14000	10.29	10.56
14000	10.3	10.57
13920	10.3	10.58
14000	10.3	10.58
14000	10.31	10.58
13920	10.31	10.58
13880	10.31	10.58
13840	10.32	10.58
13800	10.32	10.58
13760	10.32	10.57
13720	10.31	10.57
13680	10.31	10.57
13600	10.3	10.56
13560	10.29	10.56
13400	10.28	10.54
13440	10.27	10.53
13365	10.26	10.52
13295	10.25	10.51
13225	10.24	10.5
13085	10.23	10.49
13015	10.22	10.48
12875	10.21	10.45
12805	10.19	10.43
12737	10.17	10.41
12665	10.16	10.39
12630	10.14	10.37
12595	10.12	10.35
12560	10.1	10.33
12525	10.09	10.31
12490	10.07	10.29
12490	10.05	10.27
12490	10.04	10.26
12490	10.03	10.25
12455	10.02	10.24
12420	10.01	10.22
12420	9.99	10.21
12420	9.98	10.2
12420	9.97	10.19
12420	9.97	10.18
12560	9.97	10.19
12560	9.97	10.19
12630	9.97	10.2
12700	9.98	10.2
12770	9.98	10.2
12805	9.99	10.21
12875	10	10.22
12910	10	10.23
12980	10.01	10.24
12980	10.02	10.25
13085	10.03	10.26
13155	10.05	10.27
13260	10.07	10.29
13400	10.09	10.3
13560	10.1	10.32
13720	10.12	10.34
13880	10.14	10.37
14000	10.15	10.39
14120	10.17	10.42
14200	10.2	10.46
14320	10.23	10.5
14320	10.26	10.54
14320	10.29	10.57
14320	10.31	10.59
